"annee_mois";"1e_reco_mensuel";"1e_reco_cumul";"2e_reco_mensuel";"2e_reco_mois";"delib_mensuel";"delib_cumul"
"2010-10";6869;6869;0;0;0;0
"2010-11";21256;28125;0;0;0;0
"2010-12";37076;65201;0;0;0;0
"2011-01";34018;99219;0;0;0;0
"2011-02";66867;166086;921;921;0;0
"2011-03";70626;236712;1364;2285;0;0
"2011-04";47439;284151;1037;3322;0;0
"2011-05";103989;388140;1458;4780;0;0
"2011-06";82795;470935;15818;20598;0;0
"2011-07";39417;510352;8805;29403;0;0
"2011-08";77070;587422;6447;35850;0;0
"2011-09";64740;652162;10203;46053;0;0
"2011-10";46096;698258;10385;56438;0;0
"2011-11";51806;750064;6502;62940;0;0
"2011-12";74512;824576;5401;68341;2;2
"2012-01";41396;865972;6450;74791;0;2
"2012-02";51621;917593;7350;82141;5;7
"2012-03";53155;970748;6003;88144;3;10
"2012-04";44946;1015694;3150;91294;1;11
"2012-05";76142;1091836;5560;96854;3;14
"2012-06";61624;1153460;6000;102854;0;14
"2012-07";46458;1199918;5400;108254;1;15
"2012-08";18929;1218847;1100;109354;0;15
"2012-09";26000;1244847;1220;110574;3;18
"2012-10";61000;1305847;3379;113953;2;20
"2012-11";68000;1373847;5200;119153;3;23
"2012-12";64000;1437847;3900;123053;0;23
"2013-01";73591;1511438;7350;130403;3;26
"2013-02";80000;1591438;8550;138953;3;29
"2013-03";84000;1675438;8700;147653;2;31
"2013-04";84000;1759438;12000;159653;6;37
"2013-05";72000;1831438;10800;170453;2;39
"2013-06";73000;1904438;15700;186153;12;51
"2013-07";92000;1996438;15135;201288;3;54
"2013-08";80000;2076438;9315;210603;0;54
"2013-09";51877;2128315;13470;224073;4;58
"2013-10";138000;2266315;15475;239548;8;66
"2013-11";113766;2380081;10125;249673;4;70
"2013-12";120000;2500081;9050;258723;0;70
"2014-01";132000;2632081;11950;270673;0;70
"2014-02";116298;2748379;13000;283673;15;85
"2014-03";126000;2874379;13650;297323;7;92
"2014-04";121336;2995715;13650;310973;8;100
"2014-05";96000;3091715;10400;321373;6;106
"2014-06";149357;3241072;12350;333723;10;116
"2014-07";131022;3372094;14300;348023;8;124
"2014-08";120000;3492094;11069;359092;0;124
"2014-09";132000;3624094;14300;373392;18;142
"2014-10";116000;3740094;11672;385064;19;161
"2014-11";90000;3830094;9018;394082;18;179
"2014-12";90000;3920094;9018;403100;13;192
"2015-01";83640;4003734;10317;413417;24;216
"2015-02";133000;4136734;12350;425767;18;234
"2015-03";159500;4296234;13450;439217;16;250
"2015-04";185449;4481683;10884;450101;34;284
"2015-05";176791;4658474;11166;461267;29;313
"2015-06";231000;4889474;21400;482667;49;362
"2015-07";210000;5099474;10020;492687;21;383
"2015-08";210000;5309474;8000;500687;0;383
"2015-09";231000;5540474;10508;511195;68;451
"2015-10";192000;5732474;14600;525795;93;544
"2015-11";152000;5884474;14600;540395;65;609
"2015-12";150000;6034474;12600;552995;52;661
"2016-01";122000;6156474;12200;565195;54;715
"2016-02";147000;6303474;14700;579895;71;786
"2016-03";154000;6457474;15400;595295;83;869
"2016-04";162000;6619474;14700;609995;60;929
"2016-05";175441;6794915;12512;622507;38;967
"2016-06";177641;6972556;12825;635332;79;1046
"2016-07";132724;7105280;8500;643832;63;1109
"2016-08";209913;7315193;11500;655332;0;1109
"2016-09";154308;7469501;15786;671118;97;1206
"2016-10";104885;7574386;15200;686318;97;1303
"2016-11";168240;7742626;14900;701218;82;1385
"2016-12";170291;7912917;18000;719218;44;1429
"2017-01";205412;8118329;19800;739018;72;1501
"2017-02";183897;8302226;18000;757018;112;1613
"2017-03";147634;8449860;20700;777718;79;1692
"2017-04";76721;8526581;12600;790318;73;1765
"2017-05";149660;8676241;15300;805618;84;1849
"2017-06";128171;8804412;8000;813618;86;1935
"2017-07";166058;8970470;8800;822418;55;1990
"2017-08";150488;9120958;8000;830418;0;1990
"2017-09";180748;9301706;8400;838818;69;2059
"2017-10";126012;9427718;7600;846418;97;2156
"2017-11";180901;9608619;8400;854818;128;2284
